item_definition,itemID,category,diminutive
szczoteczka do zębów,item_268,household,
szczotka,item_269,household,
szklanka,item_270,household,
szkoła/przedszkole,item_329,places,
szmata/ścierka,item_271,household,
sznurek,item_272,household,
szuflada,item_229,furniture_rooms,
szukać,item_508,action_words,
szyja,item_200,body_parts,
szynka,item_130,food_drink,
szyć,item_509,action_words,
sól,item_129,food_drink,
słoik,item_266,household,
słoń,item_43,animals,
słońce,item_306,outside,
słyszeć/słuchać,item_503,action_words,
tak,item_367,games_routines,
taki,item_624,pronouns_demonstrative,
talerz,item_274,household,
tam,item_547,locations,
tamten,item_623,pronouns_demonstrative,
tata/tatuś,item_355,people,yes
tańczyć,item_512,action_words,
telefon/komórka,item_275,household,
telewizor,item_231,furniture_rooms,
ten,item_622,pronouns_demonstrative,
teraz,item_564,time_words,
termometr,item_276,household,
też,item_594,quantifiers,
tik tak,item_11,sounds,
to,item_617,pronouns_demonstrative,
torebka,item_277,household,
traktor,item_68,vehicles,
tralala/lalala,item_12,sounds,
tramwaj,item_69,vehicles,
trawa,item_308,outside,
trochę/troszkę,item_582,quantifiers,
truskawki,item_131,food_drink,
trzymać,item_513,action_words,
tu,item_546,locations,
twój,item_610,pronouns_personal,
ty/cię/ci,item_601,pronouns_personal,
tygrys,item_47,animals,
tyle,item_583,quantifiers,
tylko,item_591,quantifiers,
tylko,item_668,connecting_words,
tędy,item_548,locations,
u (np. u cioci),item_657,prepositions,
ubikacja/ustęp,item_232,furniture_rooms,
ubranie,item_177,clothing,
ubrać (się),item_514,action_words,
ucho,item_201,body_parts,
uciekać,item_515,action_words,
uczyć się,item_516,action_words,
ulica,item_309,outside,
umieć,item_517,action_words,
umyty,item_404,descriptive_words (adjectives),
upaść/spaść,item_518,action_words,
usiąść/siadać,item_519,action_words,
uściskać/ukochać,item_520,action_words,
w (np. w kuchni),item_658,prepositions,
w ogóle,item_645,modal_adverbs,
w środku,item_558,locations,
wanna,item_233,furniture_rooms,
wasz,item_614,pronouns_personal,
wczoraj,item_574,time_words,
wiaderko,item_152,toys,yes
wiatr,item_310,outside,
widelec,item_278,household,
widzieć/zobaczyć,item_522,action_words,
wieczorem,item_576,time_words,
wiedzieć,item_523,action_words,
wiewiórka,item_49,animals,
wilk,item_50,animals,
witaminy,item_132,food_drink,
wiązać,item_521,action_words,
więcej,item_584,quantifiers,
woda,item_133,food_drink,
woda,item_311,outside,
wstawać,item_525,action_words,
wszystko/wszyscy,item_586,quantifiers,
wszędzie,item_561,locations,
wujek,item_357,people,
wy/was/wam,item_605,pronouns_personal,
wyrzucić,item_526,action_words,
wysoko,item_552,locations,
wytrzeć,item_527,action_words,
wózek,item_234,furniture_rooms,
wąż,item_48,animals,
właśnie,item_646,modal_adverbs,
włosy,item_202,body_parts,
włożyć/założyć,item_524,action_words,
"z (np. z tatusiem, z cukrem)",item_660,prepositions,
z (np. z łazienki),item_661,prepositions,
z przodu/do przodu,item_557,locations,
z tyłu/do tyłu,item_556,locations,
za (np. za szafą),item_659,prepositions,
za (np. za dużo),item_596,quantifiers,
zabawka,item_153,toys,
zając,item_51,animals,
zamiatać,item_528,action_words,
zamknięty,item_405,descriptive_words (adjectives),
zamknąć,item_529,action_words,
zapałki,item_279,household,
zapiąć,item_530,action_words,
zaraz,item_565,time_words,
zawsze,item_570,time_words,
zaświecić/zapalić,item_531,action_words,
zdjąć/ściągnąć,item_532,action_words,
zdjęcie/fotografia,item_280,household,
zdrowy,item_406,descriptive_words (adjectives),
zegarek,item_281,household,
zepsuty,item_407,descriptive_words (adjectives),
zepsuć,item_533,action_words,
zgubić,item_534,action_words,
ziemia,item_312,outside,
ziemniaki/kartofle,item_134,food_drink,
zimno,item_422,descriptive_words (adverbs),
zimny,item_408,descriptive_words (adjectives),
zmęczony,item_409,descriptive_words (adjectives),
zmęczyć się,item_537,action_words,
znaleźć,item_539,action_words,
znać,item_538,action_words,
znowu/znów,item_567,time_words,
zoo,item_330,places,
zostać,item_540,action_words,
zupa,item_135,food_drink,
zwierzątko,item_52,animals,
ząb,item_203,body_parts,
złamać,item_535,action_words,
złapać,item_536,action_words,
ładnie,item_418,descriptive_words (adverbs),
ładny,item_394,descriptive_words (adjectives),
łazienka,item_215,furniture_rooms,
łokieć,item_187,body_parts,
łopatka,item_145,toys,yes
łyżka,item_250,household,
łóżko,item_216,furniture_rooms,
ściana,item_230,furniture_rooms,
ślimak,item_45,animals,
śliniaczek,item_176,clothing,yes
śmiać się,item_510,action_words,
śmieci,item_273,household,
śniadanie,item_369,games_routines,
śnieg,item_307,outside,
śpiewać,item_511,action_words,
śpiący,item_403,descriptive_words (adjectives),
świnka,item_46,animals,yes
żaba,item_53,animals,
żaden,item_599,quantifiers,
że,item_669,connecting_words,
żeby,item_670,connecting_words,
żelazko,item_282,household,
żyrafa,item_55,animals,
żółw,item_54,animals,
